[[-41.89249784128597, 62.41474719287651], [-18.349681144810848, 19.7755767172908], [-82.08781620674553, 131.4588106652573], [-9.193626110964301, 13.488052137836057], [-98.2816570554711, 157.3819463998705]]
[[-41.81145725577854, 71.78213927306501], [-18.610707818400687, 27.352146153528736], [-80.95154178258143, 128.95154178258144], [-9.788462136582005, 15.985958216193508], [-83.84050706807693, 149.08618553618953]]
[[-40.58356032908712, 68.58356032908712], [-16.083272992970482, 18.03381744099315], [-82.51861483497783, 128.49822667058055], [-10.755208542843267, 16.815810542965274], [-85.55041837781219, 157.18944458315084]]
[[-50.33309197188193, 73.01512276296631], [-21.85107324539779, 23.04475166046847], [-75.877883586454, 126.61857907223957], [-8.107964298437317, 9.739389212501532], [-93.68052695429445, 155.9475650676759]]
[[-39.74086993473697, 59.498302520907814], [-19.182693204873008, 26.142273517252196], [-73.85349940690018, 118.71136282565683], [-8.934046377634228, 13.411130881773833], [-90.28520415532087, 149.0912262034453]]
[[-49.306561735119786, 73.07516654462566], [-24.131383600765623, 26.927950463427365], [-80.49822667058056, 127.16406407132449], [-7.975509639258474, 10.190441710268846], [-97.04864552818213, 153.50688308497448]]
[[-46.99571833040311, 71.28893548362817], [-22.25367520068486, 28.490688271032205], [-82.51861483497783, 130.51861483497783], [-8.021938781178529, 10.065414028508751], [-89.12701811184387, 146.41606740687916]]
[[-46.06834985295192, 73.6721073987336], [-20.723715814447914, 24.385954467706707], [-75.29454970088219, 125.30618302999572], [-10.532908171767794, 16.532908171767794], [-91.15550987466496, 135.58882099836637]]
[[-41.77775343488393, 73.6721073987336], [-24.321301038830217, 35.034174926475956], [-75.15392679858721, 128.14274018807515], [-7.155413842138154, 8.635917361003631], [-93.17614465730486, 148.64648212673632]]
[[-45.8176338315862, 72.49897007849692], [-27.545538685301757, 42.907938324140794], [-85.7955375833566, 130.34246014504214], [-9.076590738665221, 15.65896425956264], [-98.95221170405655, 154.9157963991225]]
[[-44.47115868616506, 66.26276720153125], [-18.08758906717708, 19.307683881305973], [-70.26238849640717, 123.82901582459786], [-8.551081035108117, 14.231679006246525], [-95.0912262034453, 149.0912262034453]]
[[-45.1851758246649, 73.27951990285516], [-23.73700567759564, 28.10183394774118], [-81.40506907078779, 126.50340521854807], [-10.815810542965275, 16.724442197919576], [-97.9403908503079, 157.78849125273177]]
[[-48.03310175127458, 76.99889085376591], [-20.576329936510117, 25.20810114253151], [-81.12699222535376, 122.16188669990736], [-6.877604271421633, 8.700720690072078], [-97.91579639912251, 159.67448115701103]]
[[-41.45356282276066, 64.80834687942337], [-19.148529075759193, 24.605858398674147], [-75.60989294329283, 122.35850241842363], [-10.017842523509394, 16.724442197919576], [-94.95798734680262, 149.2402135231574]]
[[-38.46073362674532, 51.097962746460446], [-22.813240377476735, 27.328985995436337], [-76.5553498968163, 128.4050690707878], [-10.363390705690165, 16.630203478771378], [-98.64944289199534, 144.945165715303]]
[[-40.43489312081571, 66.2370135308368], [-21.437381867029192, 31.855283505876415], [-81.19246308370826, 122.55901299081688], [-10.815810542965275, 16.815810542965274], [-100.51466858276007, 153.5853100231773]]
[[-40.34438610509725, 68.49901009971077], [-23.328985995436337, 25.891644059531373], [-82.22008544306443, 120.36739593291816], [-10.363390705690165, 16.78566256540327], [-86.98886390410726, 149.12988722060732]]
[[-45.49235607915232, 75.8845594539349], [-21.363692456867838, 24.07052605601284], [-80.46459835741982, 111.51923495607404], [-9.358502898976148, 13.384955373046646], [-88.88715091805857, 141.65350379490081]]
